 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    360      1    997
    360      2    998
    360      3    999
    361      1   1000
    361      2   1001
    361      3   1002
    362      1   1003
    362      2   1004
    362      3   1005
    363      1   1006
    363      2   1007
    363      3   1008
    364      1   1009
    364      2   1010
    364      3   1011
    365      1   1012
    365      2   1013
    365      3   1014
    366      1   1015
    366      2   1016
    366      3   1017
    367      1   1018
    367      2   1019
    367      3   1020
    368      1   1021
    368      2   1022
    368      3   1023
    369      1   1024
    369      2   1025
    369      3   1026
    370      1   1027
    370      2   1028
    370      3   1029
    371      1   1030
    371      2   1031
    371      3   1032
    372      1   1033
    372      2   1034
    372      3   1035
    373      1   1036
    373      2   1037
    373      3   1038
    374      1   1039
    374      2   1040
    374      3   1041
    375      1   1042
    375      2   1043
    375      3   1044
    376      1   1045
    376      2   1046
    376      3   1047
    377      1   1048
    377      2   1049
    377      3   1050
    378      1   1051
    378      2   1052
    378      3   1053
    379      1   1054
    379      2   1055
    379      3   1056
    380      1   1057
    380      2   1058
    380      3   1059
    381      1   1060
    381      2   1061
    381      3   1062
    382      1   1063
    382      2   1064
    382      3   1065
    383      1   1066
    383      2   1067
    383      3   1068
    384      1   1069
    384      2   1070
    384      3   1071
    385      1   1072
    385      2   1073
    385      3   1074
    386      1   1075
    386      2   1076
    386      3   1077
    387      1   1078
    387      2   1079
    387      3   1080
    388      1   1081
    388      2   1082
    388      3   1083
    389      1   1084
    389      2   1085
    389      3   1086
    390      1   1087
    390      2   1088
    390      3   1089
    391      1   1090
    391      2   1091
    391      3   1092
    392      1   1093
    392      2   1094
    392      3   1095
    393      1   1096
    393      2   1097
    393      3   1098
    394      1   1099
    394      2   1100
    394      3   1101
    395      1   1102
    395      2   1103
    395      3   1104
    396      1   1105
    396      2   1106
    396      3   1107
    397      1   1108
    397      2   1109
    397      3   1110
    398      1   1111
    398      2   1112
    398      3   1113
    399      1   1114
    399      2   1115
    399      3   1116
    400      1   1117
    400      2   1118
    400      3   1119
    401      1   1120
    401      2   1121
    401      3   1122
    402      1   1123
    402      2   1124
    402      3   1125
    403      1   1126
    403      2   1127
    403      3   1128
    404      1   1129
    404      2   1130
    404      3   1131
    405      1   1132
    405      2   1133
    405      3   1134
    406      1   1135
    406      2   1136
    406      3   1137
    407      1   1138
    407      2   1139
    407      3   1140
    408      1   1141
    408      2   1142
    408      3   1143
    409      1   1144
    409      2   1145
    409      3   1146
    410      1   1147
    410      2   1148
    410      3   1149
    411      1   1150
    411      2   1151
    411      3   1152
    412      1   1153
    412      2   1154
    412      3   1155
    413      1   1156
    413      2   1157
    413      3   1158
    414      1   1159
    414      2   1160
    414      3   1161
    415      1   1162
    415      2   1163
    415      3   1164
    416      1   1165
    416      2   1166
    416      3   1167
    417      1   1168
    417      2   1169
    417      3   1170
    418      1   1171
    418      2   1172
    418      3   1173
    419      1   1174
    419      2   1175
    419      3   1176
    420      1   1177
    420      2   1178
    420      3   1179
    421      1   1180
    421      2   1181
    421      3   1182
    422      1   1183
    422      2   1184
    422      3   1185
    423      1   1186
    423      2   1187
    423      3   1188
    424      1   1189
    424      2   1190
    424      3   1191
    425      1   1192
    425      2   1193
    425      3   1194
    426      1   1195
    426      2   1196
    426      3   1197
    427      1   1198
    427      2   1199
    427      3   1200
    428      1   1201
    428      2   1202
    428      3   1203
    429      1   1204
    429      2   1205
    429      3   1206
    430      1   1207
    430      2   1208
    430      3   1209
    431      1   1210
    431      2   1211
    431      3   1212
    432      1   1213
    432      2   1214
    432      3   1215
    433      1   1216
    433      2   1217
    433      3   1218
    434      1   1219
    434      2   1220
    434      3   1221
    435      1   1222
    435      2   1223
    435      3   1224
    436      1   1225
    436      2   1226
    436      3   1227
    437      1   1228
    437      2   1229
    437      3   1230
    438      1   1231
    438      2   1232
    438      3   1233
    439      1   1234
    439      2   1235
    439      3   1236
    440      1   1237
    440      2   1238
    440      3   1239
    441      1   1240
    441      2   1241
    441      3   1242
    442      1   1243
    442      2   1244
    442      3   1245
    443      1   1246
    443      2   1247
    443      3   1248
    444      1   1249
    444      2   1250
    444      3   1251
    445      1   1252
    445      2   1253
    445      3   1254
    446      1   1255
    446      2   1256
    446      3   1257
    447      1   1258
    447      2   1259
    447      3   1260
    448      1   1261
    448      2   1262
    448      3   1263
    449      1   1264
    449      2   1265
    449      3   1266
    450      1   1267
    450      2   1268
    450      3   1269
    451      1   1270
    451      2   1271
    451      3   1272
    452      1   1273
    452      2   1274
    452      3   1275
    453      1   1276
    453      2   1277
    453      3   1278
    454      1   1279
    454      2   1280
    454      3   1281
    455      1   1282
    455      2   1283
    455      3   1284
    456      1   1285
    456      2   1286
    456      3   1287
    457      1   1288
    457      2   1289
    457      3   1290
    458      1   1291
    458      2   1292
    458      3   1293
    459      1   1294
    459      2   1295
    459      3   1296
    460      1   1297
    460      2   1298
    460      3   1299
    461      1   1300
    461      2   1301
    461      3   1302
    462      1   1303
    462      2   1304
    462      3   1305
    463      1   1306
    463      2   1307
    463      3   1308
    464      1   1309
    464      2   1310
    464      3   1311
    465      1   1312
    465      2   1313
    465      3   1314
    466      1   1315
    466      2   1316
    466      3   1317
    467      1   1318
    467      2   1319
    467      3   1320
    468      1   1321
    468      2   1322
    468      3   1323
    469      1   1324
    469      2   1325
    469      3   1326
    470      1   1327
    470      2   1328
    470      3   1329
    471      1   1330
    471      2   1331
    471      3   1332
    472      1   1333
    472      2   1334
    472      3   1335
    473      1   1336
    473      2   1337
    473      3   1338
    474      1   1339
    474      2   1340
    474      3   1341
    475      1   1342
    475      2   1343
    475      3   1344
    476      1   1345
    476      2   1346
    476      3   1347
    477      1   1348
    477      2   1349
    477      3   1350
    478      1   1351
    478      2   1352
    478      3   1353
    479      1   1354
    479      2   1355
    479      3   1356
    480      1   1357
    480      2   1358
    480      3   1359
    481      1   1360
    481      2   1361
    481      3   1362
    482      1   1363
    482      2   1364
    482      3   1365
    483      1   1366
    483      2   1367
    483      3   1368
    484      1   1369
    484      2   1370
    484      3   1371
    485      1   1372
    485      2   1373
    485      3   1374
    486      1   1375
    486      2   1376
    486      3   1377
    487      1   1378
    487      2   1379
    487      3   1380
    488      1   1381
    488      2   1382
    488      3   1383
    489      1   1384
    489      2   1385
    489      3   1386
    490      1   1387
    490      2   1388
    490      3   1389
    491      1   1390
    491      2   1391
    491      3   1392
    492      1   1393
    492      2   1394
    492      3   1395
    493      1   1396
    493      2   1397
    493      3   1398
    494      1   1399
    494      2   1400
    494      3   1401
    495      1   1402
    495      2   1403
    495      3   1404
    496      1   1405
    496      2   1406
    496      3   1407
    497      1   1408
    497      2   1409
    497      3   1410
    498      1   1411
    498      2   1412
    498      3   1413
    499      1   1414
    499      2   1415
    499      3   1416
    500      1   1417
    500      2   1418
    500      3   1419
    501      1   1420
    501      2   1421
    501      3   1422
    502      1   1423
    502      2   1424
    502      3   1425
    503      1   1426
    503      2   1427
    503      3   1428
    504      1   1429
    504      2   1430
    504      3   1431
    505      1   1432
    505      2   1433
    505      3   1434
    506      1   1435
    506      2   1436
    506      3   1437
    507      1   1438
    507      2   1439
    507      3   1440
    508      1   1441
    508      2   1442
    508      3   1443
    509      1   1444
    509      2   1445
    509      3   1446
    510      1   1447
    510      2   1448
    510      3   1449
    511      1   1450
    511      2   1451
    511      3   1452
    512      1   1453
    512      2   1454
    512      3   1455
    513      1   1456
    513      2   1457
    513      3   1458
    514      1   1459
    514      2   1460
    514      3   1461
    515      1   1462
    515      2   1463
    515      3   1464
    516      1   1465
    516      2   1466
    516      3   1467
    517      1   1468
    517      2   1469
    517      3   1470
    518      1   1471
    518      2   1472
    518      3   1473
    519      1   1474
    519      2   1475
    519      3   1476
    520      1   1477
    520      2   1478
    520      3   1479
    521      1   1480
    521      2   1481
    521      3   1482
    522      1   1483
    522      2   1484
    522      3   1485
    523      1   1486
    523      2   1487
    523      3   1488
    524      1   1489
    524      2   1490
    524      3   1491
    525      1   1492
    525      2   1493
    525      3   1494
    526      1   1495
    526      2   1496
    526      3   1497
    527      1   1498
    527      2   1499
    527      3   1500
    528      1   1501
    528      2   1502
    528      3   1503
    529      1   1504
    529      2   1505
    529      3   1506
    530      1   1507
    530      2   1508
    530      3   1509
    531      1   1510
    531      2   1511
    531      3   1512
    532      1   1513
    532      2   1514
    532      3   1515
    533      1   1516
    533      2   1517
    533      3   1518
    534      1   1519
    534      2   1520
    534      3   1521
    535      1   1522
    535      2   1523
    535      3   1524
    536      1   1525
    536      2   1526
    536      3   1527
    537      1   1528
    537      2   1529
    537      3   1530
    538      1   1531
    538      2   1532
    538      3   1533
    539      1   1534
    539      2   1535
    539      3   1536
    540      1   1537
    540      2   1538
    540      3   1539
    541      1   1540
    541      2   1541
    541      3   1542
    542      1   1543
